id,year,wardno,noofoccupidhouses,noofhouseholds,totalpop,totalmale,totalfemale,totalcaste,malecaste,femalecaste,totaltribes,maletribes,femaletribes,totalliterates,maleliterates,femaleliterates,totalilliterates,maleilliterates,femaleilliterates
125,2001,50,2386,2403,13367,6804,6563,864,421,443,108,54,54,9642,5309,4333,3725,1495,2230
126,2001,51,3060,3076,15781,8198,7583,5226,2677,2549,88,50,38,9004,5318,3686,6777,2880,3897
127,2001,52,2074,2121,12359,6345,6014,2507,1249,1258,101,54,47,8223,4605,3618,4136,1740,2396
128,2001,53,2547,2571,13289,6807,6482,283,145,138,43,22,21,11039,5928,5111,2250,879,1371
129,2001,54,2010,2031,11033,5655,5378,18,13,5,48,22,26,8841,4760,4081,2192,895,1297
130,2001,55,2219,2285,13105,6902,6203,223,116,107,32,19,13,9890,5573,4317,3215,1329,1886
131,2001,56,2159,2248,12801,6625,6176,1120,561,559,99,63,36,9438,5239,4199,3363,1386,1977
132,2001,57,1898,1941,11492,5846,5646,761,394,367,34,16,18,8263,4556,3707,3229,1290,1939
133,2001,58,2456,2528,12683,6434,6249,141,73,68,167,90,77,10805,5645,5160,1878,789,1089
134,2001,59,2505,2620,13872,7125,6747,1938,1010,928,145,100,45,11318,6084,5234,2554,1041,1513
135,2001,60,1996,2065,11905,6114,5791,613,327,286,24,14,10,9396,5087,4309,2509,1027,1482
136,2001,61,2338,2430,12715,6272,6443,1172,587,585,68,32,36,9718,5056,4662,2997,1216,1781
137,2001,62,2262,2279,14632,7409,7223,5858,2976,2882,28,17,11,9827,5517,4310,4805,1892,2913
138,2001,63,2132,2171,13058,6695,6363,499,264,235,11,6,5,9384,5327,4057,3674,1368,2306
139,2001,64,2329,2413,13891,7175,6716,3397,1719,1678,70,39,31,8620,5062,3558,5271,2113,3158
140,2001,65,2918,2973,16692,8689,8003,4594,2359,2235,80,43,37,8241,4920,3321,8451,3769,4682
141,2001,66,2520,2598,15172,7887,7285,3067,1569,1498,78,48,30,11008,6249,4759,4164,1638,2526
142,2001,67,3607,3630,20368,10534,9834,8489,4412,4077,50,31,19,9590,5940,3650,10778,4594,6184
143,2001,68,2461,2473,14125,7223,6902,3023,1545,1478,19,8,11,10058,5537,4521,4067,1686,2381
144,2001,69,4161,4243,20833,10709,10124,4111,2112,1999,162,82,80,11715,6741,4974,9118,3968,5150
145,2001,70,6968,7036,32324,16569,15755,5494,2882,2612,187,102,85,22983,12622,10361,9341,3947,5394
146,2001,71,5213,5250,25527,13289,12238,2978,1547,1431,448,231,217,17898,10031,7867,7629,3258,4371
147,2001,72,4931,4942,23585,12182,11403,7552,3846,3706,269,141,128,11118,6859,4259,12467,5323,7144
148,2001,73,3785,3809,18683,9690,8993,2381,1238,1143,122,67,55,12365,7119,5246,6318,2571,3747
